???,shougakkou, elementary school
??,chuugaku, junior high
???,kyoukasho," textbook, schoolbook"
??,kyoushitsu," classroom, class"
??,shiken, exam
??,suugaku, mathematics
??,ongaku, music
?,kabe," wall, partition"
???,sodateru," bring up, raise"
???,otosu, drop
????,takushi-, taxi
???,tateru," stand, set up"
???,ureru," sell, be in demand"
???,kimaru, be decided
??,korosu, kill
??,okuru," offer, give"
??,utsu," hit, strike"
??,genkan," entrance, door"
??,chounan, eldest son
?,you, things to do
??,ichi," position, location"
?,ana, hole
?,shima, island Japanese origin
???,garasu, glass material
?,kaze, wind
??,taiyou, sun
?,kita, north
??,gyuuniku, beef
??,shousetsu, novel
??,koshou," malfunction, breakdown"
??,nanika," something, some"
???,mannaka," center, middle casual"
?,yoko," side, width across"
?????,subarashii," excellent, wonderful"
??,raigetsu, next month
??,yuugata," early evening, at dusk"
???,jidousha, automobile
??,toru," take a photograph, film"
????,dondon," knock, bang"
???,nigeru," escape, run away"
??,nedan, price
??,yakusoku," promise, vow"
???,rajio, radio
????,nyu-su, news
??,youi, preparation
?????,pa-ti-, party
??,hayaku," early, soon"
???,bideo, video
??,furu," wave, shake"
??,muri," unreasonable, impossible"
??,yuumei, famous
??,ryuugaku, study abroad
??,yasai, vegetable
??,tokubetsu, special
??,jiyuu, freedom
??,nokoru," remain, be left over"
????,matomeru," gather together, put in order"
????,se-ta-, sweater
??,sentaku," laundry, washing"
???????,aisukuri-mu, ice cream
???,sameru, cool off
?????,motteiku," take, bring"
??,sekken, soap
??,chyuushoku, lunch
??,nemuru," sleep, lie idle"
?,hi," fire, flame"
?,higashi," east, eastern"
??,yuushoku," supper, dinner"
???,hagemasu," encourage, cheer up"
?,yume, dream
?,tonari," next to, next door"
??????,erebe-ta-, elevator
??,osu," push, press down"
?,to," door, sliding door"
????,nakunaru," die, pass away"
??,josei," woman, female formal"
????,torakku, truck
?,netsu," heat, fever"
??,odoru, dance
??,atsusa, thickness
